,timestamp, Close/Last_ACTUAL, Close/Last_FORECAST
2517,2010-03-01,29.8557,
2516,2010-03-02,29.8357,
2515,2010-03-03,29.9043,
2514,2010-03-04,30.1014,
2513,2010-03-05,31.2786,
2512,2010-03-08,31.2971,
2511,2010-03-09,31.86,
2510,2010-03-10,32.12,
2509,2010-03-11,32.2143,
2508,2010-03-12,32.3714,
2507,2010-03-15,31.9771,
2506,2010-03-16,32.0643,
2505,2010-03-17,32.0171,
2504,2010-03-18,32.0928,
2503,2010-03-19,31.75,
2502,2010-03-22,32.1071,
2501,2010-03-23,32.6228,
2500,2010-03-24,32.7671,
2499,2010-03-25,32.3786,
2498,2010-03-26,32.9857,
2497,2010-03-29,33.1986,
2496,2010-03-30,33.6921,
2495,2010-03-31,33.5714,
2494,2010-04-01,33.71,
2493,2010-04-05,34.07,
2492,2010-04-06,34.22,
2491,2010-04-07,34.3714,
2490,2010-04-08,34.2786,
2489,2010-04-09,34.5414,
2488,2010-04-12,34.6128,
2487,2010-04-13,34.6328,
2486,2010-04-14,35.0986,
2485,2010-04-15,35.56,
2484,2010-04-16,35.3428,
2483,2010-04-19,35.2957,
2482,2010-04-20,34.9414,
2481,2010-04-21,37.0314,
2480,2010-04-22,38.0671,
2479,2010-04-23,38.69,
2478,2010-04-26,38.5,
2477,2010-04-27,37.4343,
2476,2010-04-28,37.3714,
2475,2010-04-29,38.3771,
2474,2010-04-30,37.2986,
2473,2010-05-03,38.05,
2472,2010-05-04,36.9543,
2471,2010-05-05,36.5693,
2470,2010-05-06,35.1786,
2469,2010-05-07,33.6943,
2468,2010-05-10,36.2843,
2467,2010-05-11,36.6457,
2466,2010-05-12,37.4414,
2465,2010-05-13,36.9086,
2464,2010-05-14,36.26,
2463,2010-05-17,36.3171,
2462,2010-05-18,36.0514,
2461,2010-05-19,35.4771,
2460,2010-05-20,33.9657,
2459,2010-05-21,34.6171,
2458,2010-05-24,35.2514,
2457,2010-05-25,35.0314,
2456,2010-05-26,34.8727,
2455,2010-05-27,36.1928,
2454,2010-05-28,36.6971,
2453,2010-06-01,37.2614,
2452,2010-06-02,37.7071,
2451,2010-06-03,37.5886,
2450,2010-06-04,36.5664,
2449,2010-06-07,35.8486,
2448,2010-06-08,35.6186,
2447,2010-06-09,34.7428,
2446,2010-06-10,35.7871,
2445,2010-06-11,36.2157,
2444,2010-06-14,36.3257,
2443,2010-06-15,37.0986,
2442,2010-06-16,38.1786,
2441,2010-06-17,38.8386,
2440,2010-06-18,39.1534,
2439,2010-06-21,38.5957,
2438,2010-06-22,39.1214,
2437,2010-06-23,38.71,
2436,2010-06-24,38.4286,
2435,2010-06-25,38.1,
2434,2010-06-28,38.3286,
2433,2010-06-29,36.5957,
2432,2010-06-30,35.9328,
2431,2010-07-01,35.4971,
2430,2010-07-02,35.2771,
2429,2010-07-06,35.5186,
2428,2010-07-07,36.9521,
2427,2010-07-08,36.87,
2426,2010-07-09,37.0886,
2425,2010-07-12,36.755,
2424,2010-07-13,35.9711,
2423,2010-07-14,36.1038,
2422,2010-07-15,35.9214,
2421,2010-07-16,35.7,
2420,2010-07-19,35.0828,
2419,2010-07-20,35.9843,
2418,2010-07-21,36.32,
2417,2010-07-22,37.0034,
2416,2010-07-23,37.1343,
2415,2010-07-26,37.04,
2414,2010-07-27,37.7257,
2413,2010-07-28,37.28,
2412,2010-07-29,36.8728,
2411,2010-07-30,36.75,
2410,2010-08-02,37.4071,
2409,2010-08-03,37.4186,
2408,2010-08-04,37.5686,
2407,2010-08-05,37.3857,
2406,2010-08-06,37.1558,
2405,2010-08-09,37.3928,
2404,2010-08-10,37.0586,
2403,2010-08-11,35.7414,
2402,2010-08-12,35.97,
2401,2010-08-13,35.5857,
2400,2010-08-16,35.3771,
2399,2010-08-17,35.9957,
2398,2010-08-18,36.1528,
2397,2010-08-19,35.6971,
2396,2010-08-20,35.6628,
2395,2010-08-23,35.1143,
2394,2010-08-24,34.2757,
2393,2010-08-25,34.6986,
2392,2010-08-26,34.3257,
2391,2010-08-27,34.5171,
2390,2010-08-30,34.6428,
2389,2010-08-31,34.7286,
2388,2010-09-01,35.7614,
2387,2010-09-02,36.0243,
2386,2010-09-03,36.9671,
2385,2010-09-07,36.83,
2384,2010-09-08,37.56,
2383,2010-09-09,37.5814,
2382,2010-09-10,37.63,
2381,2010-09-13,38.1486,
2380,2010-09-14,38.2943,
2379,2010-09-15,38.6028,
2378,2010-09-16,39.51,
2377,2010-09-17,39.3386,
2376,2010-09-20,40.4614,
2375,2010-09-21,40.5386,
2374,2010-09-22,41.1071,
2373,2010-09-23,41.2743,
2372,2010-09-24,41.76,
2371,2010-09-27,41.5948,
2370,2010-09-28,40.98,
2369,2010-09-29,41.0528,
2368,2010-09-30,40.5357,
2367,2010-10-01,40.36,
2366,2010-10-04,39.8057,
2365,2010-10-05,41.2771,
2364,2010-10-06,41.3128,
2363,2010-10-07,41.3171,
2362,2010-10-08,42.01,
2361,2010-10-11,42.1943,
2360,2010-10-12,42.6486,
2359,2010-10-13,42.8771,
2358,2010-10-14,43.1871,
2357,2010-10-15,44.9628,
2356,2010-10-18,45.4286,
2355,2010-10-19,44.2128,
2354,2010-10-20,44.3614,
2353,2010-10-21,44.2171,
2352,2010-10-22,43.9243,
2351,2010-10-25,44.12,
2350,2010-10-26,44.0071,
2349,2010-10-27,43.9757,
2348,2010-10-28,43.6057,
2347,2010-10-29,42.9971,
2346,2010-11-01,43.4543,
2345,2010-11-02,44.1943,
2344,2010-11-03,44.6857,
2343,2010-11-04,45.4671,
2342,2010-11-05,45.3043,
2341,2010-11-08,45.5171,
2340,2010-11-09,45.1543,
2339,2010-11-10,45.4328,
2338,2010-11-11,45.2364,
2337,2010-11-12,44.0043,
2336,2010-11-15,43.8621,
2335,2010-11-16,43.0843,
2334,2010-11-17,42.9286,
2333,2010-11-18,44.0614,
2332,2010-11-19,43.8186,
2331,2010-11-22,44.7657,
2330,2010-11-23,44.1043,
2329,2010-11-24,44.9707,
2328,2010-11-26,45.0,
2327,2010-11-29,45.2671,
2326,2010-11-30,44.45,
2325,2010-12-01,45.2,
2324,2010-12-02,45.45,
2323,2010-12-03,45.3486,
2322,2010-12-06,45.7357,
2321,2010-12-07,45.4586,
2320,2010-12-08,45.8586,
2319,2010-12-09,45.6796,
2318,2010-12-10,45.7943,
2317,2010-12-13,45.9528,
2316,2010-12-14,45.7557,
2315,2010-12-15,45.7657,
2314,2010-12-16,45.8928,
2313,2010-12-17,45.8014,
2312,2010-12-20,46.03,
2311,2010-12-21,46.315,
2310,2010-12-22,46.4514,
2309,2010-12-23,46.2286,
2308,2010-12-27,46.3828,
2307,2010-12-28,46.4957,
2306,2010-12-29,46.47,
2305,2010-12-30,46.2371,
2304,2010-12-31,46.08,
2303,2011-01-03,47.0814,
2302,2011-01-04,47.3271,
2301,2011-01-05,47.7143,
2300,2011-01-06,47.6757,
2299,2011-01-07,48.0171,
2298,2011-01-10,48.9221,
2297,2011-01-11,48.8057,
2296,2011-01-12,49.2028,
2295,2011-01-13,49.3828,
2294,2011-01-14,49.7828,
2293,2011-01-18,48.6643,
2292,2011-01-19,48.4057,
2291,2011-01-20,47.5257,
2290,2011-01-21,46.6743,
2289,2011-01-24,48.2071,
2288,2011-01-25,48.7714,
2287,2011-01-26,49.1214,
2286,2011-01-27,49.03,
2285,2011-01-28,48.0143,
2284,2011-01-31,48.4743,
2283,2011-02-01,49.29,
