DATE,OPEN,HIGH,LOW,CLOSE,SHARES,TRADES
25-08-2021,113.45,117.15,113.40,115.65,1243921,5013
24-08-2021,112.70,115.20,112.15,113.15,2663894,8416
23-08-2021,109.80,112.00,108.55,111.60,3268177,13519
20-08-2021,111.70,111.75,108.50,110.30,808598,5735
18-08-2021,113.85,115.30,112.80,113.10,573795,6773
17-08-2021,116.40,116.40,112.75,113.85,854504,4117
16-08-2021,117.00,118.35,114.70,115.45,1904406,9197
13-08-2021,117.40,117.40,115.35,116.10,784930,2983
12-08-2021,116.40,117.85,115.35,116.15,1547496,6703
11-08-2021,115.35,117.20,114.80,117.00,819459,7354
10-08-2021,115.10,115.70,113.85,114.85,898299,6359
09-08-2021,116.40,116.95,114.30,115.05,396592,2594
06-08-2021,116.00,118.20,116.00,116.60,340307,2374
05-08-2021,116.00,117.25,114.70,116.80,410574,2846
04-08-2021,117.80,118.45,116.65,117.30,377962,2493
03-08-2021,116.00,118.10,115.15,117.80,950649,12530
02-08-2021,115.25,117.45,114.90,117.15,449492,3825
30-07-2021,115.00,116.30,113.80,115.25,1159149,4003
29-07-2021,114.60,115.80,113.30,114.75,810695,6261
28-07-2021,115.00,115.15,113.45,114.40,986925,3392
27-07-2021,115.00,115.85,114.05,114.60,350503,2197
26-07-2021,115.40,115.60,114.00,114.45,1045523,2604
23-07-2021,116.50,116.70,114.80,115.20,1293321,4345
22-07-2021,114.30,115.80,113.90,115.50,956611,8998
20-07-2021,112.15,113.30,111.55,112.65,1417365,4847
19-07-2021,115.05,116.50,114.20,114.60,1671678,4357
16-07-2021,117.50,117.50,115.75,116.70,612955,3994
15-07-2021,119.90,119.90,116.25,116.85,1235220,8032
14-07-2021,120.60,121.75,119.95,120.65,479814,3748
13-07-2021,119.30,120.75,118.75,120.25,429162,3399
12-07-2021,118.55,119.35,118.00,118.50,1618463,6458
09-07-2021,116.85,118.65,116.65,117.90,803021,7015
08-07-2021,119.85,119.85,116.85,117.05,1689621,11398
07-07-2021,120.15,120.30,117.75,119.95,1256852,11287
06-07-2021,122.65,125.00,121.05,121.50,2878431,22841
05-07-2021,118.70,121.45,118.70,120.95,2002270,20638
02-07-2021,119.80,120.85,118.00,118.40,1440301,10062
